Sample_name,image_url,image_url2,image_url3,latitude,longitude,elevation_approx,notes,Traverse,rock_type,rock_description,original_dms,original_elevation,nm_notes
GT-14,https://uofi.box.com/s/msn4nxlby8vcumeoua0hmjkbu8xdp3qb,,,-50.95644444,-72.95633333,1378,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'23.2""S  72°57'22.8""W",1378,
GT-15,https://uofi.box.com/s/xmt917a7y3uyx98un4jtp7njpg4tort9,,,-50.95222222,-72.9625,1100,,Mirador Granite Transect,Granite,Homogenous Granite,"*50°57'08.0""S  72°57'45.0""W",*1100,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Torres Country Rock Laguna Aramaga ,https://uofi.box.com/s/gxi7wu11ld3yaohjtrel5x3a2q7dgcf1,,,,,,,,,,,,
Torres CS Cone Sheet 1 and 2 I put with CS p1/p2,,,,,,,,,,,,,
ME-X ,https://uofi.box.com/s/n6aawgm566u2rrnjet0hj7owuuz17ucr,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Name,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,,,,
C-1,54.944,1.38,17.882,7.954,5.112,7.974,3.532,1.208,0.014,,,,
C-15,48.102,2.154,15.316,11.188,11.146,9.338,2.242,0.484,0,,,,
C-22,48.678,2.07,16.41,10.858,9.086,7.332,3.712,1.576,0,,,,
C-39,50.268,2.417,18.298,9.865,5.075,6.528,4.532,2.552,0.462,,,,
C-44,71.964,0.466,14.93,2.1,0,1.23,5.452,3.864,0.002,,,,
C-45,54.568,1.718,18.294,7.67,4.47,7.098,4.774,1.176,0.232,,,,
C-8,52.324,1.306,15.954,10.01,9.416,7.128,2.726,1.138,0,,,,
CD-2 (felsic),72.194,0.316,15.198,2.39,0,0.314,5.378,4.18,0.026,,,,
CD-4 (mafic),55.484,1.42,17.66,8.734,4.44,6.922,4.186,1.08,0.076,,,,
Cig-1,72.836,0.228,14.416,1.926,0,1.518,5.266,3.73,0.076,,,,
Cig-5,51.85,1.958,17.718,9.288,5.792,7.22,3.818,2.09,0.264,,,,
CS,76.684,0.01,13.306,0.106,0,0.076,5.716,4.106,0,,,,
CS-4,75.018,0.02,13.558,0.948,0,0.112,6.048,4.298,0,,,,
CS-5,75.462,0.062,13.564,0.826,0,0.156,5.598,4.332,0.002,,,,
FZ-1,50.69,3.89,19.42,8.55,5.16,8.36,2.7,0.87,0.35,,,,
FZ-2,51.88,2.38,16.48,9.36,7.72,8.83,2.06,1.04,0.25,,,,
FZ-4,52.97,1.3,20.71,7.07,5.65,7.64,3.28,1.04,0.35,,,,
FZ-7,64.63,0.74,17.91,4.81,0.24,3.43,5.45,2.5,0.29,,,,
GMT-1,72.418,0.258,14.75,1.624,0,1.268,5.31,3.79,0.582,,,,
GMT-2,72.518,0.192,14.716,1.958,0,1.182,5.288,3.782,0.36,,,,
GMT-3,67.366,0.408,17.346,3.02,0.09,2.452,5.898,3.392,0.026,,,,
GMT-4,57.118,1.212,17.734,7.936,3.416,7.148,4.1,1.338,0,,,,
GMT-5,53.0225,1.1375,17.235,9.5725,7.11,8.2125,2.7,1.0025,0,,,,
